Package,Base name,Inh Depth,NVI,Local G Count,NVS,New Count,Overriden G Count,Inh Count,Tag,Ovr Tag
org.gudy.azureus2.core3.torrent.impl,TOTorrentXMLSerialiser,2,1.1304348,13,14.695652,13,0,23,PureExtender,NoOvr
org.gudy.azureus2.pluginsimpl.local.utils,UTTimerImpl$timerEvent,1,0.36363637,4,1.4545455,4,0,11,PureExtender,NoOvr
org.bouncycastle.crypto.modes,CTSBlockCipher,2,0.5,5,2.5,0,5,15,PureOverrider,PureReplacer
com.aelitis.azureus.core.proxy.socks.impl,AESocksProxyImpl,1,0.6363636,7,4.4545455,7,0,11,PureExtender,NoOvr
org.gudy.azureus2.ui.swt.views.tableitems.mytorrents,TrackerNextAccessItem,3,0.21052632,4,0.84210527,4,0,57,PureExtender,NoOvr
org.gudy.azureus2.update,UpdaterUpdateChecker,1,0.18181819,2,0.36363637,2,0,11,PureExtender,NoOvr
org.gudy.azureus2.pluginsimpl.local.utils.resourcedownloader,ResourceDownloaderURLImpl,2,0.6,12,7.2000003,4,8,32,Overrider,PureSpecializer
org.gudy.azureus2.core3.html.impl,HTMLChunkImpl,1,0.54545456,6,3.2727275,6,0,11,PureExtender,NoOvr
org.gudy.azureus2.pluginsimpl.remote.tracker,RPTracker,2,1.5833334,19,30.083334,16,3,21,Extender,PureReplacer
org.gudy.azureus2.ui.swt.maketorrent,SavePathPanel,2,0.2,2,0.4,0,2,18,PureOverrider,Equals
org.bouncycastle.asn1.pkcs,IssuerAndSerialNumber,1,0.27272728,3,0.8181819,3,0,11,PureExtender,NoOvr
com.aelitis.azureus.core.proxy.socks.impl,AESocksProxyConnectionImpl$proxyStateV4Reply,2,0.10526316,1,0.10526316,0,1,18,PureOverrider,PureReplacer
org.gudy.azureus2.pluginsimpl.remote.ipfilter,RPIPFilter,2,1.8333334,22,40.333336,19,3,21,Extender,PureReplacer
com.aelitis.net.upnp.impl.services,UPnPActionInvocationImpl,1,0.18181819,2,0.36363637,2,0,11,PureExtender,NoOvr
org.gudy.azureus2.core3.disk.impl.access.impl,Test,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.gudy.azureus2.pluginsimpl.local.torrent,TorrentFileImpl,1,0.18181819,2,0.36363637,2,0,11,PureExtender,NoOvr
com.aelitis.azureus.core.peermanager.unchoker,UnchokerUtil,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.gudy.azureus2.pluginsimpl.local.utils.resourcedownloader,ResourceDownloaderRetryImpl,2,0.5,10,5.0,2,8,32,Overrider,PureSpecializer
com.aelitis.net.udp.uc,PRUDPPacketHandlerFactory,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.bouncycastle.asn1.x509,NameConstraints,1,0.27272728,3,0.8181819,3,0,11,PureExtender,NoOvr
com.aelitis.azureus.plugins.extseed.impl.webseed,ExternalSeedReaderFactoryWebSeed,1,0.09090909,1,0.09090909,1,0,11,PureExtender,NoOvr
com.aelitis.azureus.core.diskmanager.file.impl,FMFileUnlimited,2,0.33333334,7,2.3333335,0,7,35,PureOverrider,PureSpecializer
org.bouncycastle.asn1.x509,IssuingDistributionPoint,1,0.45454547,5,2.2727273,5,0,11,PureExtender,NoOvr
org.bouncycastle.asn1.x509,DistributionPointName,2,0.14285715,1,0.14285715,0,1,13,PureOverrider,PureSpecializer
org.bouncycastle.crypto.params,RSAKeyParameters,2,0.33333334,2,0.6666667,2,0,12,PureExtender,NoOvr
org.gudy.azureus2.ui.swt.views.configsections,ConfigSectionFilePerformance,1,0.45454547,5,2.2727273,5,0,11,PureExtender,NoOvr
org.gudy.azureus2.ui.swt.config.generic,GenericIntParameter,1,0.8181818,9,7.3636365,9,0,11,PureExtender,NoOvr
com.aelitis.azureus.core.networkmanager.impl,IncomingSocketChannelManager$IncomingConnection,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.gudy.azureus2.pluginsimpl.local.peers,PeerImpl,2,6.375,51,325.125,47,4,12,Extender,PureReplacer
org.gudy.azureus2.core3.util,DirectByteBufferPool,1,0.45454547,5,2.2727273,5,0,11,PureExtender,NoOvr
org.gudy.azureus2.ui.swt.views.tableitems.peers,PiecesItem,3,0.15789473,3,0.4736842,3,0,57,PureExtender,NoOvr
org.gudy.azureus2.core3.download,DownloadManagerStateFactory,1,0.0,0,0.0,0,0,11,Other,NoOvr
com.aelitis.azureus.core.util.average,MovingAverage,1,0.18181819,2,0.36363637,2,0,11,PureExtender,NoOvr
com.aelitis.azureus.plugins.startstoprules.defaultplugin,StartStopRulesDefaultPlugin$TotalsStats,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.gudy.azureus2.pluginsimpl.remote.rpexceptions,RPUnsupportedInputTypeException,5,0.2,1,0.2,0,1,24,PureOverrider,PureReplacer
org.bouncycastle.asn1.x509,IssuerSerial,1,0.36363637,4,1.4545455,4,0,11,PureExtender,NoOvr
com.aelitis.azureus.core.diskmanager.access.impl,DiskAccessControllerInstance$groupSemaphore$mutableInteger,1,0.36363637,4,1.4545455,4,0,11,PureExtender,NoOvr
org.gudy.azureus2.ui.swt.predicate.shell,ShellCanMaximizePredicate,1,0.09090909,1,0.09090909,1,0,11,PureExtender,NoOvr
org.gudy.azureus2.plugins.sharing,ShareException,3,0.0,0,0.0,0,0,21,Other,NoOvr
com.aelitis.azureus.core.dht.db.impl,DHTDBValueImpl,1,1.4545455,16,23.272728,16,0,11,PureExtender,NoOvr
org.gudy.azureus2.pluginsimpl.update.sf.impl2,SFPluginDetailsImpl,1,1.1818181,13,15.363636,13,0,11,PureExtender,NoOvr
org.gudy.azureus2.core3.util.jar,Test,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.gudy.azureus2.ui.swt.views.tableitems.pieces,TypeItem,3,0.05263158,1,0.05263158,1,0,57,PureExtender,NoOvr
org.gudy.azureus2.pluginsimpl.local.ui.model,BasicPluginConfigModelImpl,1,1.5454545,17,26.272726,17,0,11,PureExtender,NoOvr
org.gudy.azureus2.pluginsimpl.remote,MethodSignature,1,0.09090909,1,0.09090909,0,1,10,PureOverrider,PureReplacer
org.gudy.azureus2.core3.torrent.impl,TOTorrentAnnounceURLSetImpl,1,0.18181819,2,0.36363637,2,0,11,PureExtender,NoOvr
org.gudy.azureus2.ui.swt.views.table.utils,TableColumnManager,1,0.72727275,8,5.818182,8,0,11,PureExtender,NoOvr
org.gudy.azureus2.ui.swt.updater.snippets,Logger,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.bouncycastle.crypto.params,ECPrivateKeyParameters,3,0.23076922,1,0.23076922,1,0,13,PureExtender,NoOvr
com.aelitis.azureus.core.networkmanager.impl,TCPTransportHelperFilterSwitcher,1,0.45454547,5,2.2727273,5,0,11,PureExtender,NoOvr
org.gudy.azureus2.ui.swt.config,DirectoryParameter,2,0.375,3,1.125,0,3,13,PureOverrider,Specializer
org.gudy.azureus2.core3.util.protocol.dht,Handler,2,0.08695652,1,0.08695652,0,1,22,PureOverrider,PureSpecializer
com.aelitis.azureus.plugins.extseed.util,ExternalSeedHTTPDownloader,1,0.54545456,6,3.2727275,6,0,11,PureExtender,NoOvr
org.gudy.azureus2.core3.logging.impl,LoggerImpl,1,1.6363636,18,29.454546,18,0,11,PureExtender,NoOvr
org.bouncycastle.crypto.generators,ECKeyPairGenerator,1,0.18181819,2,0.36363637,2,0,11,PureExtender,NoOvr
com.aelitis.azureus.core.networkmanager.impl,ReadController,1,0.27272728,3,0.8181819,3,0,11,PureExtender,NoOvr
org.gudy.azureus2.ui.swt.views.configsections,ConfigSectionInterfaceDisplay,1,0.45454547,5,2.2727273,5,0,11,PureExtender,NoOvr
org.gudy.azureus2.ui.swt.views.configsections,ConfigSectionFile,1,0.45454547,5,2.2727273,5,0,11,PureExtender,NoOvr
org.gudy.azureus2.core3.disk.impl.piecemapper.impl,PieceListImpl,1,0.36363637,4,1.4545455,4,0,11,PureExtender,NoOvr
org.bouncycastle.jce.provider,JDKMessageDigest$MD2,4,0.13793103,1,0.13793103,0,1,28,PureOverrider,PureSpecializer
org.bouncycastle.jce.provider,JDKMessageDigest$MD5,4,0.13793103,1,0.13793103,0,1,28,PureOverrider,PureSpecializer
org.bouncycastle.jce.provider,JDKMessageDigest$MD4,4,0.13793103,1,0.13793103,0,1,28,PureOverrider,PureSpecializer
org.gudy.azureus2.pluginsimpl.local.disk,DiskManagerImpl,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.gudy.azureus2.pluginsimpl.local.torrent,TorrentAttributePeerSourcesImpl,1,0.54545456,6,3.2727275,6,0,11,PureExtender,NoOvr
com.aelitis.azureus.core.networkmanager.impl,TransferProcessor$GroupData,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.bouncycastle.crypto.params,IESWithCipherParameters,2,0.14285715,1,0.14285715,1,0,14,PureExtender,NoOvr
org.gudy.azureus2.pluginsimpl.local.sharing,ShareResourceDirContentsImpl,2,0.4864865,9,4.3783784,3,6,31,Overrider,Specializer
org.gudy.azureus2.ui.swt.views.tableitems.mytracker,NameItem,3,0.05263158,1,0.05263158,1,0,57,PureExtender,NoOvr
org.gudy.azureus2.ui.swt.views.tableitems.peers,StateItem,3,0.05263158,1,0.05263158,1,0,57,PureExtender,NoOvr
org.gudy.azureus2.ui.swt.views.stats,DHTView,2,0.5833333,7,4.083333,1,6,18,Overrider,PureReplacer
org.bouncycastle.asn1.x509,TBSCertList$CRLEntry,1,0.36363637,4,1.4545455,4,0,11,PureExtender,NoOvr
org.gudy.azureus2.ui.swt.config,DualChangeSelectionActionPerformer,1,0.36363637,4,1.4545455,4,0,11,PureExtender,NoOvr
com.aelitis.azureus.plugins.startstoprules.defaultplugin.ui.swt,ConfigSectionSeedingFirstPriority,1,0.45454547,5,2.2727273,5,0,11,PureExtender,NoOvr
org.gudy.azureus2.pluginsimpl.local.update,Test,1,0.36363637,4,1.4545455,4,0,11,PureExtender,NoOvr
org.gudy.azureus2.core3.logging,LogEvent,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.bouncycastle.crypto.params,RSAPrivateCrtKeyParameters,3,1.2857144,6,7.7142863,6,0,14,PureExtender,NoOvr
com.aelitis.azureus.core.dht.router.impl,DHTRouterStatsImpl,1,0.09090909,1,0.09090909,1,0,11,PureExtender,NoOvr
com.aelitis.azureus.core.dht.transport.udp.impl,DHTUDPPacketRequestPing,4,0.22857143,2,0.45714286,0,2,33,PureOverrider,PureSpecializer
org.gudy.azureus2.ui.swt.wizard,AbstractWizardPanel,1,0.8181818,9,7.3636365,9,0,11,PureExtender,NoOvr
com.aelitis.azureus.core.update.impl,AzureusRestarterImpl,1,0.18181819,2,0.36363637,2,0,11,PureExtender,NoOvr
org.gudy.azureus2.core3.tracker.protocol.udp,PRUDPPacketTracker,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.bouncycastle.asn1,BERTaggedObject,4,0.23529412,1,0.23529412,0,1,16,PureOverrider,PureSpecializer
org.gudy.azureus2.core3.stats.impl,StatsWriterPeriodicImpl,1,0.54545456,6,3.2727275,6,0,11,PureExtender,NoOvr
com.aelitis.azureus.core.networkmanager.impl,TCPTransportHelper,1,0.45454547,5,2.2727273,5,0,11,PureExtender,NoOvr
org.gudy.azureus2.core3.peer,PEPeerManagerFactory,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.bouncycastle.asn1,DERInteger,2,0.7692308,5,3.846154,2,3,10,Overrider,Replacer
org.gudy.azureus2.platform,PlatformManagerCapabilities,1,0.09090909,1,0.09090909,0,1,10,PureOverrider,PureReplacer
com.aelitis.azureus.core.dht.nat.impl,DHTNATPuncherImpl,1,2.3636363,26,61.454544,26,0,11,PureExtender,NoOvr
com.aelitis.azureus.core.proxy.socks.impl,AESocksProxyConnectionImpl$proxyStateV5Methods,2,0.10526316,1,0.10526316,0,1,18,PureOverrider,PureReplacer
com.aelitis.azureus.core.networkmanager.impl,EntityHandler,1,0.36363637,4,1.4545455,4,0,11,PureExtender,NoOvr
org.bouncycastle.crypto.params,ParametersWithRandom,1,0.18181819,2,0.36363637,2,0,11,PureExtender,NoOvr
org.bouncycastle.asn1,DERSet,3,0.1764706,1,0.1764706,0,1,16,PureOverrider,PureSpecializer
com.aelitis.azureus.core.peermanager.messaging.bittorrent,BTCancel,1,1.0909091,12,13.09091,12,0,11,PureExtender,NoOvr
com.aelitis.azureus.core.peermanager.download.session,TorrentSessionControllerFactory,1,0.27272728,3,0.8181819,3,0,11,PureExtender,NoOvr
org.gudy.azureus2.ui.swing,UISwingImageRepository,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.gudy.azureus2.ui.swt.views.tableitems.files,StorageTypeItem,3,0.05263158,1,0.05263158,1,0,57,PureExtender,NoOvr
com.aelitis.net.magneturi.impl,MagnetURIHandlerImpl,2,1.2857143,9,11.571428,6,3,11,Extender,PureSpecializer
org.gudy.azureus2.pluginsimpl.local.tracker,TrackerTorrentImpl,1,3.3636363,37,124.454544,35,2,9,Extender,PureReplacer
org.gudy.azureus2.plugins.tracker,TrackerException,3,0.0,0,0.0,0,0,21,Other,NoOvr
org.bouncycastle.asn1.pkcs,SignerInfo,1,0.72727275,8,5.818182,8,0,11,PureExtender,NoOvr
org.gudy.azureus2.ui.swt.views.utils,ManagerUtils,1,0.0,0,0.0,0,0,11,Other,NoOvr
com.aelitis.azureus.core.dht.transport.udp.impl,DHTUDPPacketRequest,3,1.826087,14,25.565218,12,2,21,Extender,PureSpecializer
org.gudy.azureus2.pluginsimpl.local.ui.config,ActionParameterImpl,2,0.18181819,3,0.54545456,3,0,33,PureExtender,NoOvr
