Package,Base name,Inh Depth,NVI,Local G Count,NVS,New Count,Overriden G Count,Inh Count,Tag,Ovr Tag
org.apache.commons.httpclient.protocol,ControllerThreadSocketFactory$SocketTask,1,0.36363637,4,1.4545455,4,0,11,PureExtender,NoOvr
org.jboss.net.protocol.file,FileURLLister,2,0.30769232,2,0.61538464,2,0,13,PureExtender,NoOvr
org.jboss.xb.binding.sunday.unmarshalling.impl.runtime,MapEntry,1,0.6363636,7,4.4545455,4,3,8,Extender,PureReplacer
EDU.oswego.cs.dl.util.concurrent,SynchronizedFloat,2,2.1538463,14,30.153847,11,3,10,Extender,PureReplacer
EDU.oswego.cs.dl.util.concurrent,CopyOnWriteArrayList$COWIterator,1,0.8181818,9,7.3636365,9,0,11,PureExtender,NoOvr
EDU.oswego.cs.dl.util.concurrent.misc,SynchronizationTimer,1,1.9090909,21,40.090908,21,0,11,PureExtender,NoOvr
org.jboss.deployment.scanner,URLDeploymentScanner$DeployedURL,1,0.8181818,9,7.3636365,6,3,8,Extender,Replacer
org.apache.commons.httpclient,HttpVersion,1,0.90909094,10,9.090909,7,3,8,Extender,PureReplacer
org.jboss.system.server,ServerConfigLocator,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.jboss.dom4j.io,DispatchHandler,1,0.90909094,10,9.090909,10,0,11,PureExtender,NoOvr
org.jboss.xb.binding,Marshaller$FACTORY,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.apache.log4j.helpers,Loader,1,0.0,0,0.0,0,0,11,Other,NoOvr
EDU.oswego.cs.dl.util.concurrent,ObservableSync,1,0.72727275,8,5.818182,8,0,11,PureExtender,NoOvr
org.jboss.logging.util,LoggerWriter$InternalLoggerWriter,2,0.25,3,0.75,0,3,21,PureOverrider,PureSpecializer
org.jboss.mx.loading,HeirarchicalLoaderRepository3$CacheClassLoader,7,0.089743584,1,0.089743584,0,1,77,PureOverrider,PureReplacer
org.jboss.net.sockets,TimeoutSocket,2,1.2758621,37,47.206898,0,37,21,PureOverrider,PureReplacer
javax.management,MBeanFeatureInfo,1,0.36363637,4,1.4545455,2,2,9,Overrider,PureReplacer
org.jboss.xb.binding.introspection,FieldInfo$SetValueAccessFactory,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.jboss.mx.util,Serialization,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.jboss.dom4j.util,SimpleSingleton,1,0.27272728,3,0.8181819,3,0,11,PureExtender,NoOvr
EDU.oswego.cs.dl.util.concurrent.misc,PCTestLoop,2,0.16666667,1,0.16666667,1,0,12,PureExtender,NoOvr
org.apache.commons.httpclient,ChunkedInputStream,2,0.4,4,1.6,0,4,16,PureOverrider,Replacer
org.jboss.util,StopWatch,1,1.0,11,11.0,9,2,9,Extender,Equals
org.jboss.mx.loading,BasicLoaderRepository,2,0.7096774,11,7.8064513,0,11,20,PureOverrider,PureSpecializer
org.apache.log4j.spi,LoggingEvent,1,1.0,11,11.0,11,0,11,PureExtender,NoOvr
javax.management,OrQueryExp,2,0.6666667,4,2.6666667,3,1,11,Extender,PureReplacer
org.jboss.xb.binding.metadata,PutMethodMetaData,1,0.72727275,8,5.818182,6,2,9,Extender,PureReplacer
org.jboss.util,LRUCachePolicy$LRUCacheEntry,1,0.09090909,1,0.09090909,0,1,10,PureOverrider,PureReplacer
org.apache.commons.httpclient.methods.multipart,MultipartRequestEntity,1,0.45454547,5,2.2727273,5,0,11,PureExtender,NoOvr
org.jboss.util.propertyeditor,ClassEditor,3,0.11538461,1,0.11538461,0,1,25,PureOverrider,PureReplacer
org.jboss.util.xml,JBossErrorHandler,1,0.8181818,9,7.3636365,9,0,11,PureExtender,NoOvr
org.apache.log4j,AsyncAppender$Dispatcher,1,0.09090909,1,0.09090909,1,0,11,PureExtender,NoOvr
org.jboss.mx.metadata,AbstractBuilder,1,0.6363636,7,4.4545455,7,0,11,PureExtender,NoOvr
org.jboss.mx.util,ObjectNamePatternHelper,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.jboss.net.protocol.http,DavURLLister,2,0.30769232,2,0.61538464,2,0,13,PureExtender,NoOvr
org.apache.commons.httpclient,MultiThreadedHttpConnectionManager,1,1.7272727,19,32.818184,19,0,11,PureExtender,NoOvr
org.jboss.system,InvalidAttributeException,5,0.0,0,0.0,0,0,22,Other,NoOvr
org.apache.commons.httpclient.cookie,CookieSpecBase,1,1.2727273,14,17.818182,14,0,11,PureExtender,NoOvr
org.apache.commons.httpclient,HttpClientError,3,0.0,0,0.0,0,0,21,Other,NoOvr
org.jboss.deployment,SubDeployerSupport,3,1.4666667,22,32.266666,18,4,41,Extender,PureReplacer
org.jboss.logging.util,LoggerWriter,3,0.0,0,0.0,0,0,52,Other,NoOvr
org.apache.commons.httpclient.methods,DeleteMethod,2,0.02,1,0.02,0,1,99,PureOverrider,PureSpecializer
EDU.oswego.cs.dl.util.concurrent,SynchronizedByte,2,3.2307692,21,67.84615,18,3,10,Extender,PureReplacer
org.apache.log4j,PropertyConfigurator,1,1.0,11,11.0,11,0,11,PureExtender,NoOvr
org.apache.log4j.helpers,SyslogWriter,2,0.33333334,4,1.3333334,0,4,20,PureOverrider,Specializer
org.jboss.system,Registry,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.jboss.util.timeout,TimeoutFactory,1,0.36363637,4,1.4545455,4,0,11,PureExtender,NoOvr
org.jboss.util,TimedCachePolicy$DefaultTimedEntry,1,0.45454547,5,2.2727273,5,0,11,PureExtender,NoOvr
org.jboss.util.propertyeditor,PropertyEditors,1,0.18181819,2,0.36363637,2,0,11,PureExtender,NoOvr
org.jboss.xb.binding.metadata,XsdAnnotation$AbstractGOMF,1,0.36363637,4,1.4545455,4,0,11,PureExtender,NoOvr
org.jboss.util,CoercionException,5,0.0,0,0.0,0,0,22,Other,NoOvr
