#statement;statement;PageRank value;Rank;All Edges;Incoming Edges;Outgoing Edges
319;DUMMY;0.00421144;4;3;2;1
320;FUNCTION_CALL;0.00290444;68;2;1;1
321;IF;0.00290444;68;3;1;2
322;FUNCTION_CALL;0.00159744;271;2;1;1
323;FUNCTION_CALL;0.00290444;68;2;1;1
324;END_THEN;0.00290444;68;2;1;1
325;DUMMY;0.00421144;4;3;2;1
326;IF;0.00290444;68;3;1;2
327;FUNCTION_CALL;0.00159744;271;2;1;1
328;FUNCTION_CALL;0.00290444;68;2;1;1
329;END_THEN;0.00290444;68;2;1;1
330;DUMMY;0.00421144;4;3;2;1
331;IF;0.00290444;68;3;1;2
332;FUNCTION_CALL;0.00159744;271;2;1;1
333;FUNCTION_CALL;0.00290444;68;2;1;1
334;END_THEN;0.00290444;68;2;1;1
335;DUMMY;0.00421144;4;3;2;1
336;IF;0.00290444;68;3;1;2
337;IF;0.00159744;271;3;1;2
338;FUNCTION_CALL;0.00159744;271;2;1;1
339;FUNCTION_CALL;0.00290444;68;2;1;1
340;END_THEN;0.00290444;68;2;1;1
341;FUNCTION_CALL;0.00159744;271;2;1;1
342;END_ELSE;0.00290444;68;2;1;1
343;DUMMY;0.00551844;0;3;2;1
344;END_THEN;0.00290444;68;2;1;1
345;DUMMY;0.00421144;4;3;2;1
346;FUNCTION_CALL;0.00290444;68;1;1;0
